,Atributo (nombre:tipo:posición),Valor (valor:posición),Por defecto,Cantidad,Cantidad mínima
1617,Talla:select:0,S:0,0,500,1
1617,Talla:select:0,M:0,1,500,1
1617,Talla:select:0,L:0,0,500,1
1617,Talla:select:0,XL:0,0,500,1
1617,Talla:select:0,XXL:0,0,500,1
1618,Talla:select:0,XS:0,0,500,1
1618,Talla:select:0,S:0,0,500,1
1618,Talla:select:0,M:0,1,500,1
1618,Talla:select:0,L:0,0,500,1
1618,Talla:select:0,XL:0,0,500,1
1618,Talla:select:0,XXL:0,0,500,1
1619,Talla:select:0,XS:0,0,500,1
1619,Talla:select:0,S:0,0,500,1
1619,Talla:select:0,M:0,1,500,1
1619,Talla:select:0,L:0,0,500,1
1619,Talla:select:0,XL:0,0,500,1
1619,Talla:select:0,XXL:0,0,500,1
1620,Talla:select:0,XS:0,0,500,1
1620,Talla:select:0,S:0,0,500,1
1620,Talla:select:0,M:0,1,500,1
1620,Talla:select:0,L:0,0,500,1
1620,Talla:select:0,XL:0,0,500,1
1620,Talla:select:0,XXL:0,0,500,1
1621,Talla:select:0,XS:0,0,500,1
1621,Talla:select:0,S:0,0,500,1
1621,Talla:select:0,M:0,1,500,1
1621,Talla:select:0,L:0,0,500,1
1621,Talla:select:0,XL:0,0,500,1
1621,Talla:select:0,XXL:0,0,500,1
1622,Talla:select:0,XS:0,0,500,1
1622,Talla:select:0,S:0,0,500,1
1622,Talla:select:0,M:0,1,500,1
1622,Talla:select:0,L:0,0,500,1
1622,Talla:select:0,XL:0,0,500,1
1622,Talla:select:0,XXL:0,0,500,1
1623,Talla:select:0,XS:0,0,500,1
1623,Talla:select:0,S:0,0,500,1
1623,Talla:select:0,M:0,1,500,1
1623,Talla:select:0,L:0,0,500,1
1623,Talla:select:0,XL:0,0,500,1
1623,Talla:select:0,XXL:0,0,500,1
1624,Talla:select:0,XS:0,0,500,1
1624,Talla:select:0,S:0,0,500,1
1624,Talla:select:0,M:0,1,500,1
1624,Talla:select:0,L:0,0,500,1
1624,Talla:select:0,XL:0,0,500,1
1624,Talla:select:0,XXL:0,0,500,1
1625,Talla:select:0,XS:0,0,500,1
1625,Talla:select:0,S:0,0,500,1
1625,Talla:select:0,M:0,1,500,1
1625,Talla:select:0,L:0,0,500,1
1625,Talla:select:0,XL:0,0,500,1
1625,Talla:select:0,XXL:0,0,500,1
1626,Talla:select:0,XS:0,0,500,1
1626,Talla:select:0,S:0,0,500,1
1626,Talla:select:0,M:0,1,500,1
1626,Talla:select:0,L:0,0,500,1
1626,Talla:select:0,XL:0,0,500,1
1626,Talla:select:0,XXL:0,0,500,1
1627,Talla:select:0,XS:0,0,500,1
1627,Talla:select:0,S:0,0,500,1
1627,Talla:select:0,M:0,1,500,1
1627,Talla:select:0,L:0,0,500,1
1627,Talla:select:0,XL:0,0,500,1
1627,Talla:select:0,XXL:0,0,500,1
1628,Talla:select:0,XS:0,0,500,1
1628,Talla:select:0,S:0,0,500,1
